timestamp,x,x_dot,pitch,pitch_rate,u_pitch,cmd_x,target_speed,height,k_x,k_x_dot,k_theta,k_theta_dot,eff_target_pitch,eff_target_pitch_rate
1.01016,-0.182654,-0.0729974,0.0586938,0.000148014,0.96524,-0.0386096,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.0151,-0.182654,-0.0729974,0.0586938,0.000148014,0.96524,-0.0386096,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.02009,-0.182287,-0.0675101,0.0578377,-0.0158261,0.101002,-0.00404006,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.02507,-0.182287,-0.0675101,0.0578377,-0.0158261,0.101002,-0.00404006,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.0301,-0.181901,-0.0622042,0.0569837,-0.0287359,-0.591742,0.0236697,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.03507,-0.181901,-0.0622042,0.0569837,-0.0287359,-0.591742,0.0236697,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.04008,-0.18186,-0.0588919,0.0568151,-0.0261766,-0.319214,0.0127686,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.04508,-0.18186,-0.0588919,0.0568151,-0.0261766,-0.319214,0.0127686,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.05008,-0.182097,-0.0571308,0.0572026,-0.0135337,0.59509,-0.0238036,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.05507,-0.182097,-0.0571308,0.0572026,-0.0135337,0.59509,-0.0238036,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.06008,-0.182225,-0.0549127,0.0574215,-0.00649503,1.16496,-0.0465983,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.0651,-0.182225,-0.0549127,0.0574215,-0.00649503,1.16496,-0.0465983,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
1.07007,-0.181987,-0.0509769,0.0569896,-0.01316,0.867738,-0.0347095,0,0.5,-6.365,-48.5719,-229.4,-58.6391,0.034,0
