timestamp,com_height,hip_angle_rad,knee_angle_rad,hip_torque,knee_torque,hip_effort,knee_effort
16.2951,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3001,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3051,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3101,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3151,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3201,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3251,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3301,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3351,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3401,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3451,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3501,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3551,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3601,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3651,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
16.3701,0.3,-0.301539,0.328833,-5.81825,0.78426,0,0
